Kit ID,Borough,Zipcode,Date Collected,Date Recieved,Lead First Draw (mg/L),Lead 1-2 Minute Flush (mg/L),Lead 5 Minute Flush (mg/L),Copper First Draw (mg/L),Copper 1-2 Minute Flush (mg/L),Copper 5 minute Flush (mg/L)
17245099,NEW YORK,10065,10/29/2017,11/03/2017 02:20:08 PM,0.000,0.000,,0.093,0.030,
17242930,BROOKLYN,11203,08/14/2017,08/22/2017 08:48:05 AM,0.000,0.000,,0.068,0.018,
17241551,BROOKLYN,11217,05/23/2017,05/26/2017 02:26:02 PM,0.172,0.002,,0.228,0.040,
17245880,ASTORIA,11105,12/07/2017,12/19/2017 10:52:12 AM,0.000,0.000,,0.205,0.023,
17239091,NEW YORK,10009,02/26/2017,03/02/2017 12:00:00 AM,0.000,0.000,,0.254,0.017,
17239439,BROOKLYN,11217,04/19/2017,04/27/2017 02:56:17 PM,0.001,0.000,,0.095,0.026,
17245040,NEW YORK,10009,10/17/2017,10/20/2017 02:24:37 PM,0.007,0.001,,0.041,0.007,
17239014,BROOKLYN,11226,02/26/2017,03/01/2017 12:00:00 AM,0.000,0.000,,0.057,0.018,
17245824,NEW YORK,10024,11/28/2017,11/30/2017 12:04:06 PM,0.002,0.000,,0.082,0.021,
16230187,BROOKLYN,11234,03/29/2017,04/04/2017 02:55:39 PM,0.000,0.000,,0.168,0.083,
16229860,BROOKLYN,11222,03/05/2017,03/15/2017 12:00:00 AM,0.000,0.000,,0.060,0.014,
17237967,NEW YORK,10021,02/14/2017,02/16/2017 12:00:00 AM,0.000,0.000,,0.073,0.039,
17239508,NEW YORK,10014,03/17/2017,03/21/2017 03:21:50 PM,0.000,0.000,,0.261,0.166,
17243375,BROOKLYN,11238,07/26/2017,07/28/2017 11:10:30 AM,0.000,0.000,,0.282,0.061,
17237916,BROOKLYN,11217,02/11/2017,02/21/2017 12:00:00 AM,0.003,0.001,,0.161,0.051,
17241263,BROOKLYN,11203,05/09/2017,05/15/2017 02:59:49 PM,0.002,0.000,,0.200,0.024,
17241437,SPRINGFIELD GARDENS,11413,05/24/2017,05/26/2017 02:26:02 PM,0.000,0.000,,0.142,0.069,
16235457,NEW YORK,10003,02/08/2017,02/15/2017 12:00:00 AM,0.000,0.000,,0.283,0.116,
17239731,BROOKLYN,11215,04/16/2017,04/20/2017 02:54:46 PM,0.003,0.009,,0.161,0.056,
17239987,ASTORIA,11105,04/05/2017,04/11/2017 10:35:24 AM,0.000,0.000,,0.267,0.147,
17243541,BROOKLYN,11233,07/28/2017,08/02/2017 09:30:34 AM,0.000,0.000,,0.142,0.161,
16236795,BROOKLYN,11230,01/16/2017,01/20/2017 12:00:00 AM,0.000,0.000,,0.075,0.030,
17243647,BROOKLYN,11230,08/03/2017,08/08/2017 11:40:16 AM,0.004,0.000,,0.117,0.112,
16236735,BROOKLYN,11215,04/05/2017,04/13/2017 08:31:04 AM,0.000,0.000,,0.184,0.024,
17245518,BROOKLYN,11238,12/06/2017,12/07/2017 12:02:29 PM,0.003,0.000,,0.100,0.014,
17242910,NEW YORK,10029,06/21/2017,06/26/2017 03:02:52 PM,0.000,0.000,,0.124,0.065,
17245165,NEW YORK,10013,10/27/2017,10/31/2017 02:08:00 PM,0.000,0.000,,0.051,0.018,
17243797,BROOKLYN,11225,08/15/2017,08/18/2017 10:31:33 AM,0.000,0.000,,0.184,0.034,
17239711,NEW YORK,10023,03/18/2017,03/21/2017 08:56:02 AM,0.004,0.000,,0.403,0.060,
17236994,BROOKLYN,11215,02/06/2017,02/10/2017 12:00:00 AM,0.000,0.000,,0.164,0.030,
17242661,BROOKLYN,11204,06/15/2017,06/22/2017 10:03:52 AM,0.001,0.000,,0.080,0.020,
17240955,NEW YORK,10016,05/05/2017,05/15/2017 02:59:49 PM,0.000,0.000,,0.164,0.058,
17245150,BROOKLYN,11233,11/15/2017,11/16/2017 11:24:52 AM,0.000,0.000,,0.299,0.154,
17244903,NEW YORK,10019,10/16/2017,10/17/2017 11:46:26 AM,0.000,0.000,,0.201,0.074,
17241670,BROOKLYN,11215,05/24/2017,05/26/2017 02:26:02 PM,0.000,0.000,,0.135,0.069,
17243546,BROOKLYN,11231,08/02/2017,08/08/2017 11:40:16 AM,0.000,0.000,,0.133,0.092,
17237788,WOODSIDE,11377,02/08/2017,02/15/2017 12:00:00 AM,0.000,0.000,,0.183,0.020,
17243616,BROOKLYN,11217,08/04/2017,08/14/2017 03:15:27 PM,0.000,0.000,,0.316,0.115,
17243534,BRONX,10463,08/03/2017,08/09/2017 11:47:12 AM,0.000,0.000,,0.121,0.070,
17245224,NEW YORK,10024,11/16/2017,11/17/2017 11:12:48 AM,0.000,0.000,,0.172,0.029,
17243811,FAR ROCKAWAY,11691,08/17/2017,08/22/2017 08:48:05 AM,0.003,0.010,,0.152,0.066,
17242646,WOODSIDE,11377,06/11/2017,06/19/2017 03:12:08 PM,0.000,0.000,,0.070,0.065,
17245189,BROOKLYN,11217,11/27/2017,11/28/2017 10:39:53 AM,0.000,0.000,,0.096,0.027,
17243098,BROOKLYN,11217,07/01/2017,07/05/2017 02:52:43 PM,0.000,0.000,,0.054,0.018,
17239416,NEW YORK,10031,03/04/2017,03/07/2017 12:00:00 AM,0.000,0.000,,0.125,0.011,
17240064,BROOKLYN,11209,03/26/2017,04/04/2017 02:47:51 PM,0.000,0.000,,0.176,0.033,
17245268,NEW YORK,10017,12/01/2017,12/06/2017 11:23:34 AM,0.002,0.000,,0.076,0.011,
16227889,BROOKLYN,11206,06/08/2017,06/12/2017 03:43:35 PM,0.000,0.000,,0.145,0.018,
17241463,BROOKLYN,11229,05/29/2017,06/02/2017 02:53:23 PM,0.000,0.000,,0.207,0.046,
17245316,BROOKLYN,11233,11/18/2017,11/22/2017 01:45:03 PM,0.002,0.002,,0.201,0.194,
17242908,NEW YORK,10012,06/21/2017,06/26/2017 03:02:52 PM,0.000,0.000,,0.080,0.035,
17240641,BROOKLYN,11216,05/18/2017,05/23/2017 08:24:59 AM,0.000,0.000,,0.087,0.020,
17240141,BROOKLYN,11215,04/10/2017,04/18/2017 02:35:35 PM,0.000,0.000,,0.194,0.022,
16225872,NEW YORK,10023,02/13/2017,02/17/2017 12:00:00 AM,0.001,0.000,,0.140,0.050,
17240842,ASTORIA,11106,04/26/2017,05/01/2017 02:42:58 PM,0.000,0.000,,0.204,0.028,
17245507,NEW YORK,10028,11/20/2017,11/27/2017 12:12:28 PM,0.000,0.000,,0.206,0.050,
16236032,BROOKLYN,11234,01/16/2017,01/20/2017 12:00:00 AM,0.000,0.000,,0.051,0.011,
17243032,NEW YORK,10031,08/20/2017,08/25/2017 10:39:09 AM,0.000,0.000,,0.135,0.014,
16232205,EAST ELMHURST,11370,07/20/2017,07/27/2017 11:30:19 AM,0.000,0.000,,0.127,0.115,
16232473,NEW YORK,10012,01/16/2017,01/20/2017 12:00:00 AM,0.000,0.000,,0.145,0.035,
17245872,NEW YORK,10011,11/28/2017,11/30/2017 12:04:06 PM,0.001,0.000,,0.086,0.025,
17239565,STATEN ISLAND,10310,03/13/2017,03/21/2017 09:04:58 AM,0.000,0.000,,0.143,0.016,
16236627,BROOKLYN,11216,01/10/2017,01/13/2017 12:00:00 AM,0.000,0.000,,0.370,0.067,
17236888,BROOKLYN,11206,01/25/2017,02/06/2017 12:00:00 AM,0.000,0.000,,0.230,0.185,
17237058,NEW YORK,10025,01/17/2017,01/25/2017 12:00:00 AM,0.000,0.000,,0.088,0.010,
17245398,CORONA,11368,11/10/2017,11/15/2017 01:36:14 PM,0.000,0.000,,0.157,0.038,
17240603,LONG ISLAND CITY,11101,04/13/2017,04/17/2017 03:07:32 PM,0.000,0.000,,0.156,0.056,
16229950,BROOKLYN,11235,11/11/2017,11/16/2017 11:24:52 AM,0.000,0.000,,0.173,0.137,
17243400,FRESH MEADOWS,11366,07/19/2017,07/25/2017 10:50:09 AM,0.000,0.000,,0.314,0.082,
17342642,BROOKLYN,11228,06/12/2017,06/15/2017 02:13:29 PM,0.005,0.007,0.002,0.128,0.021,0.016
17243754,SUNNYSIDE,11104,08/11/2017,08/14/2017 03:07:27 PM,0.000,0.000,,0.152,0.067,
17238975,NEW YORK,10034,03/16/2017,03/28/2017 09:16:30 AM,0.000,0.000,,0.181,0.015,
17239319,NEW YORK,10019,03/03/2017,03/06/2017 12:00:00 AM,0.002,0.000,,0.209,0.007,
17241120,NEW YORK,10031,05/05/2017,05/11/2017 02:58:44 PM,0.003,0.000,,0.154,0.105,
17239049,BROOKLYN,11206,10/09/2017,10/17/2017 09:26:11 AM,0.000,0.000,,0.092,0.036,
17246399,NEW YORK,10034,12/30/2017,01/02/2018 03:23:32 PM,0.000,0.000,,0.026,0.008,
17242508,NEW YORK,10023,06/06/2017,06/09/2017 03:04:34 PM,0.000,0.000,,0.195,0.181,
17241486,BROOKLYN,11218,05/21/2017,05/24/2017 02:27:03 PM,0.000,0.000,,0.082,0.023,
17238020,BROOKLYN,11222,02/17/2017,02/21/2017 12:00:00 AM,0.002,0.000,,0.230,0.059,
17240522,BROOKLYN,11215,04/14/2017,04/17/2017 03:07:32 PM,0.000,0.000,,0.213,0.095,
16233103,WOODSIDE,11377,02/20/2017,02/27/2017 12:00:00 AM,0.001,0.000,,0.212,0.191,
17237315,NEW YORK,10040,01/30/2017,02/06/2017 12:00:00 AM,0.000,0.000,,0.242,0.037,
17240712,BROOKLYN,11237,08/05/2017,08/14/2017 03:07:27 PM,0.002,0.000,,0.158,0.023,
16235453,NEW YORK,10024,01/11/2017,01/17/2017 12:00:00 AM,0.000,0.000,,0.152,0.036,
17241045,BRONX,10472,05/02/2017,05/04/2017 02:23:06 PM,0.000,0.000,,0.025,0.017,
17245687,NEW YORK,10003,11/25/2017,11/28/2017 10:39:53 AM,0.000,0.000,,0.173,0.093,
17242351,BROOKLYN,11231,06/02/2017,06/12/2017 03:43:35 PM,0.000,0.000,,0.114,0.048,
17241657,BROOKLYN,11222,06/13/2017,06/15/2017 02:13:29 PM,0.000,0.000,,0.100,0.017,
17239602,BROOKLYN,11231,03/14/2017,03/21/2017 08:56:02 AM,0.000,0.000,,0.163,0.025,
